KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMEWRETD
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/30/1963,0.002119905
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1963,0.002904514
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1963,0.0024794
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/29/1963,0.002180184
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1963,0.003718055
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1964,0.002737793
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1964,0.00226385
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1964,0.003571021
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1964,0.003809179
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/28/1964,0.002862379
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1964,0.003256703
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1964,0.002512266
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1964,0.002514583
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1964,0.003340148
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/30/1964,0.002349767
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1964,0.001715677
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1964,0.003428741
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/29/1965,0.003205313
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/26/1965,0.002652163
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1965,0.003998992
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1965,0.002928718
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/28/1965,0.002379526
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1965,0.003766088
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/30/1965,0.003213648
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1965,0.002979515
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1965,0.002728078
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/29/1965,0.002832724
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1965,0.003216348
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1965,0.002774601
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1966,0.004452702
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1966,0.002672277
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1966,0.004867117
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/29/1966,0.003023513
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1966,0.003680175
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1966,0.004328228
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/29/1966,0.003280061
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1966,0.002654048
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1966,0.004898322
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1966,0.004526141
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1966,0.00444589
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/30/1966,0.005006341
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1967,0.004699416
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1967,0.002850778
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1967,0.005892265
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/28/1967,0.003473376
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1967,0.004038089
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1967,0.001851056
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1967,0.003452461
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1967,0.003496457
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/29/1967,0.003569606
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1967,0.003522677
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1967,0.002881094
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/29/1967,0.004454192
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1968,0.005878747
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/29/1968,0.002981469
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/29/1968,0.004079457
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1968,0.003469153
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1968,0.00389037
